"id","org_flow_in", "person_flow_in", "price_chg"
2969,"748.24","-391.66","(-1.40\\%)"
2970,"-2655.78","-358.37","(-2.01\\%)"
2971,"-227.68","-1043.79","(-1.48\\%)"
2972,"-4715.00","-1866.10","(-7.26\\%)"
2973,"-550.48","-867.71","(-3.41\\%)"
2974,"-938.91","-1154.64","(-4.67\\%)"
2975,"-671.07","-1028.12","(-0.75\\%)"
2976,"-167.63","-509.62","(-1.52\\%)"
2977,"-631.27","-549.19","(-2.07\\%)"
2978,"-548.31","-396.55","(+0.09\\%)"
2979,"0.00","0.00","(0.00\\%)"
2980,"0.00","0.00","(0.00\\%)"
2981,"-3497.31","-1301.66","(-3.71\\%)"
2982,"-32.47","-791.84","(-2.27\\%)"
2983,"0.00","0.00","(0.00\\%)"
2984,"0.00","0.00","(0.00\\%)"
2985,"-91.39","-59.05","(-0.18\\%)"
2986,"-584.47","-960.79","(-1.70\\%)"
2987,"-1406.47","-584.45","(+0.11\\%)"
2988,"158.40","-942.48","(-0.20\\%)"
2989,"-3210.38","-1903.19","(-5.43\\%)"
2990,"-129.30","-121.17","(-0.45\\%)"
2991,"0.00","0.00","(0.00\\%)"
2992,"366.25","-716.33","(+1.80\\%)"
2993,"99.87","-228.14","(-0.38\\%)"
2994,"-701.28","-409.20","(-1.07\\%)"
2995,"1321.52","-344.85","(+4.24\\%)"
2996,"888.26","-3.73","(+2.59\\%)"
2997,"1058.47","-871.56","(+5.04\\%)"
2998,"0.00","0.00","(0.00\\%)"
2999,"-1117.50","-1252.13","(-1.95\\%)"
3000,"-378.87","-491.91","(+0.11\\%)"
3001,"-148.15","-577.12","(-0.75\\%)"
3002,"-427.21","-207.96","(-1.61\\%)"
3003,"-313.96","-1221.10","(-2.01\\%)"
3004,"-706.37","-114.49","(+1.24\\%)"
3005,"-632.87","-486.62","(-0.79\\%)"
3006,"-405.22","-582.36","(-0.58\\%)"
3007,"-108.49","-798.92","(-0.72\\%)"
3008,"561.98","-309.76","(+0.90\\%)"
3009,"-30.31","-702.08","(-1.26\\%)"
3010,"1444.75","-745.31","(+0.52\\%)"
3011,"-8127.84","-1885.89","(-6.57\\%)"
3012,"-11322.26","-2210.86","(-6.24\\%)"
3013,"2160.57","138.37","(+1.39\\%)"
3014,"-3271.11","-1053.15","(-3.62\\%)"
3015,"-617.90","-853.85","(-1.76\\%)"
3016,"-2655.78","-358.37","(-2.01\\%)"
3017,"-2334.02","-845.43","(-4.72\\%)"
3018,"-738.78","-842.56","(-1.26\\%)"
