"id","org_flow_in", "person_flow_in", "price_chg"
3372,"-632.87","-486.62","(-0.79\\%)"
3373,"19.05","-1168.53","(-2.08\\%)"
3374,"-108.49","-798.92","(-0.72\\%)"
3375,"1444.75","-745.31","(+0.52\\%)"
3376,"-11322.26","-2210.86","(-6.24\\%)"
3377,"-852.77","-776.62","(-4.04\\%)"
3378,"-3271.11","-1053.15","(-3.62\\%)"
3379,"-2655.78","-358.37","(-2.01\\%)"
3380,"-550.48","-867.71","(-3.41\\%)"
3381,"-1276.31","-602.60","(-0.53\\%)"
3382,"-167.63","-509.62","(-1.52\\%)"
3383,"0.00","0.00","(0.00\\%)"
3384,"347.97","33.50","(+2.86\\%)"
3385,"-32.47","-791.84","(-2.27\\%)"
3386,"0.00","0.00","(0.00\\%)"
3387,"-1406.47","-584.45","(+0.11\\%)"
3388,"-129.30","-121.17","(-0.45\\%)"
3389,"-390.65","-1034.60","(-2.45\\%)"
3390,"366.25","-716.33","(+1.80\\%)"
3391,"1321.52","-344.85","(+4.24\\%)"
3392,"1058.47","-871.56","(+5.04\\%)"
3393,"-3840.22","-2209.49","(-4.65\\%)"
3394,"-1117.50","-1252.13","(-1.95\\%)"
3395,"-313.96","-1221.10","(-2.01\\%)"
3396,"-632.87","-486.62","(-0.79\\%)"
3397,"-108.49","-798.92","(-0.72\\%)"
3398,"1444.75","-745.31","(+0.52\\%)"
3399,"-9708.49","-719.89","(-1.51\\%)"
3400,"-11322.26","-2210.86","(-6.24\\%)"
3401,"-3271.11","-1053.15","(-3.62\\%)"
3402,"-2655.78","-358.37","(-2.01\\%)"
3403,"-4447.19","-1764.02","(-4.03\\%)"
3404,"-550.48","-867.71","(-3.41\\%)"
3405,"-167.63","-509.62","(-1.52\\%)"
3406,"16988.73","1926.75","(+10.01\\%)"
3407,"0.00","0.00","(0.00\\%)"
3408,"-370.87","-792.38","(-1.14\\%)"
3409,"-89.92","-81.38","(+0.47\\%)"
3410,"-1103.26","-1513.60","(-4.32\\%)"
3411,"-1974.86","-946.19","(-1.15\\%)"
3412,"-6274.33","-1189.50","(-0.91\\%)"
3413,"-874.57","-590.91","(-2.81\\%)"
3414,"-587.61","-549.62","(-1.41\\%)"
3415,"0.00","0.00","(0.00\\%)"
3416,"-2046.99","-1450.21","(-5.26\\%)"
3417,"-2169.51","-1596.35","(-3.99\\%)"
3418,"-146.89","-367.42","(-1.41\\%)"
3419,"-1716.02","-1118.12","(-1.39\\%)"
3420,"422.37","-84.04","(+0.23\\%)"
3421,"-4563.08","-2778.37","(-7.46\\%)"
3422,"75.35","-320.52","(0.00\\%)"
3423,"1064.54","-1026.21","(-3.31\\%)"
3424,"-6124.10","-3398.59","(-9.89\\%)"
3425,"490.40","184.72","(+2.50\\%)"
3426,"2009.66","-1664.97","(0.00\\%)"
3427,"50.66","-474.74","(-0.49\\%)"
3428,"-6066.34","-1341.90","(-0.22\\%)"
3429,"-31.51","-78.46","(-0.98\\%)"
3430,"-431.11","-143.55","(-0.33\\%)"
3431,"0.00","0.00","(0.00\\%)"
3432,"387.85","-494.39","(+0.85\\%)"
3433,"4.74","1310.29","(+0.37\\%)"
3434,"0.00","0.00","(0.00\\%)"
3435,"-512.48","-677.91","(-1.87\\%)"
3436,"-2565.78","-2276.09","(-2.38\\%)"
3437,"-293.32","-310.01","(-1.43\\%)"
3438,"-2586.63","-2036.18","(-3.79\\%)"
3439,"2525.57","524.39","(+0.74\\%)"
3440,"-4398.14","-1250.43","(-2.90\\%)"
3441,"137.04","-544.11","(-0.60\\%)"
3442,"0.00","0.00","(0.00\\%)"
3443,"2250.31","143.64","(+1.90\\%)"
3444,"1361.14","-1549.08","(-0.64\\%)"
3445,"-38078.46","-78.49","(-1.20\\%)"
3446,"-2749.65","-1082.53","(-3.95\\%)"
3447,"-798.46","-388.32","(-0.96\\%)"
3448,"-1878.09","-484.47","(-2.14\\%)"
3449,"-837.08","-158.92","(-1.13\\%)"
3450,"-34.93","-246.09","(-0.89\\%)"
3451,"-336.40","-387.97","(-1.19\\%)"
3452,"-1319.55","-1185.83","(-1.78\\%)"
3453,"-2470.72","-2039.33","(-5.07\\%)"
3454,"-462.61","-1.39","(-0.15\\%)"
3455,"-409.76","-494.15","(-1.37\\%)"
3456,"-361.05","-432.89","(+0.23\\%)"
3457,"-15.34","-295.60","(-1.18\\%)"
3458,"-4240.08","-500.71","(-1.00\\%)"
3459,"-1003.46","-1891.63","(-4.98\\%)"
3460,"-559.03","-748.61","(-1.59\\%)"
3461,"-491.52","-182.16","(-1.67\\%)"
3462,"-7172.92","-436.65","(-2.50\\%)"
3463,"-2020.81","-1089.55","(-1.84\\%)"
3464,"-1716.35","-1272.25","(-1.58\\%)"
3465,"0.00","0.00","(0.00\\%)"
3466,"-9978.06","-1342.75","(-1.54\\%)"
3467,"-975.90","-1334.18","(-3.23\\%)"
3468,"-627.83","-745.71","(-0.90\\%)"
3469,"41.99","-229.47","(-2.44\\%)"
3470,"-524.11","-427.16","(-1.30\\%)"
3471,"-814.50","-578.40","(-1.42\\%)"
3472,"458.71","-1117.95","(-0.71\\%)"
3473,"-7695.16","-1106.34","(-2.70\\%)"
3474,"785.45","418.10","(+2.50\\%)"
3475,"605.82","91.93","(+2.18\\%)"
3476,"-578.33","-1147.37","(-4.69\\%)"
3477,"1342.32","22.05","(+1.15\\%)"
3478,"100.28","21.37","(+1.33\\%)"
3479,"-775.47","-606.08","(-1.65\\%)"
3480,"-344.62","-1053.02","(-1.29\\%)"
3481,"-597.61","314.25","(+0.49\\%)"
3482,"0.00","0.00","(0.00\\%)"
3483,"-414.97","-726.84","(-1.42\\%)"
3484,"597.34","-212.11","(0.00\\%)"
3485,"-2459.30","-1056.39","(-1.55\\%)"
3486,"487.16","120.88","(+2.50\\%)"
3487,"-712.11","-363.44","(-0.84\\%)"
3488,"154.65","-1020.07","(-0.84\\%)"
3489,"-396.91","-710.94","(-1.91\\%)"
3490,"-344.03","-227.00","(-0.16\\%)"
3491,"-121.43","-231.68","(-1.28\\%)"
3492,"-1845.12","-1047.56","(-3.60\\%)"
3493,"-759.44","-1911.81","(-3.45\\%)"
3494,"-1868.36","-1745.50","(-6.19\\%)"
3495,"-470.82","-1014.27","(-1.98\\%)"
3496,"85.29","-429.10","(-0.32\\%)"
3497,"-472.10","-1084.23","(-3.92\\%)"
3498,"0.00","0.00","(0.00\\%)"
3499,"-4917.87","-615.22","(-1.29\\%)"
3500,"-375.44","-630.41","(-0.84\\%)"
3501,"-4072.33","-1155.68","(-0.11\\%)"
3502,"-2742.72","-1376.99","(-1.66\\%)"
3503,"-1691.86","-707.74","(-1.83\\%)"
3504,"-105.91","-747.35","(-0.66\\%)"
3505,"-3330.15","-254.78","(-1.30\\%)"
3506,"-1190.93","-330.51","(-0.98\\%)"
3507,"-256.15","228.03","(-1.04\\%)"
3508,"-695.31","-854.64","(-2.31\\%)"
3509,"-536.23","-162.53","(-1.22\\%)"
3510,"-1344.63","-58.20","(+1.57\\%)"
3511,"0.00","0.00","(0.00\\%)"
3512,"15.45","-291.94","(-1.39\\%)"
3513,"-173.59","-262.61","(+0.19\\%)"
3514,"-935.33","-918.15","(-3.85\\%)"
3515,"0.00","0.00","(0.00\\%)"
3516,"-568.58","-811.57","(-1.64\\%)"
3517,"556.26","-1124.04","(-2.91\\%)"
3518,"-895.62","-245.22","(-1.38\\%)"
3519,"2203.88","239.08","(+3.34\\%)"
3520,"-763.70","-734.12","(-1.82\\%)"
3521,"-20992.18","-5331.23","(-9.97\\%)"
3522,"-30771.59","-490.20","(-2.31\\%)"
3523,"-303.50","77.02","(-0.65\\%)"
3524,"352.59","-590.85","(+1.61\\%)"
3525,"-467.28","-206.88","(+0.32\\%)"
3526,"638.54","-448.91","(+0.90\\%)"
3527,"-877.00","-335.43","(-1.27\\%)"
3528,"-714.62","-954.08","(-3.34\\%)"
3529,"-3595.52","-595.74","(-3.54\\%)"
3530,"-497.86","-141.77","(-1.42\\%)"
3531,"-164.29","-403.20","(-0.92\\%)"
3532,"0.00","0.00","(0.00\\%)"
3533,"0.00","0.00","(0.00\\%)"
3534,"-445.38","-772.17","(-4.39\\%)"
3535,"-528.64","-559.84","(-0.40\\%)"
3536,"-1259.96","-1566.16","(-2.45\\%)"
3537,"-419.71","-1220.37","(-2.77\\%)"
3538,"-425.69","-498.26","(-2.65\\%)"
3539,"-617.17","-410.22","(-1.75\\%)"
3540,"-116.64","-870.58","(-0.97\\%)"
3541,"-327.59","-709.35","(-1.22\\%)"
3542,"520.64","-58.69","(-1.03\\%)"
3543,"-2276.06","-1347.33","(-3.11\\%)"
3544,"-659.98","-248.94","(-1.20\\%)"
3545,"-321.22","-869.11","(-1.82\\%)"
3546,"180.76","-249.52","(-2.68\\%)"
3547,"-124.71","-356.40","(0.00\\%)"
3548,"1773.80","-416.71","(+0.91\\%)"
3549,"-348.36","-191.89","(-1.75\\%)"
3550,"-608.21","-473.33","(-1.13\\%)"
3551,"-784.89","-1458.97","(-1.40\\%)"
3552,"-1549.59","-1416.34","(-1.48\\%)"
3553,"-1032.32","-834.35","(-1.12\\%)"
3554,"-1421.99","-122.12","(-0.84\\%)"
3555,"-99.33","-582.05","(-1.58\\%)"
3556,"-853.62","-442.66","(-1.24\\%)"
3557,"-986.55","-703.24","(-1.65\\%)"
3558,"4040.61","-1949.66","(+0.56\\%)"
3559,"-602.67","-1392.13","(-3.77\\%)"
3560,"-1817.41","-1572.53","(-4.51\\%)"
3561,"-1721.50","751.37","(-0.20\\%)"
3562,"-494.48","-671.32","(-1.19\\%)"
3563,"-20.50","-874.41","(-0.71\\%)"
3564,"241.03","-321.30","(-1.81\\%)"
3565,"2918.04","-52.25","(+2.63\\%)"
3566,"-370.13","306.62","(-0.10\\%)"
3567,"-211.48","-644.56","(-0.64\\%)"
3568,"-1957.32","-1089.61","(-1.99\\%)"
3569,"1152.42","389.06","(+2.06\\%)"
3570,"-6004.24","-13.83","(-3.21\\%)"
3571,"-3326.66","-133.22","(-2.02\\%)"
3572,"-1260.73","-895.20","(+0.06\\%)"
3573,"-1486.86","-1720.58","(-6.73\\%)"
3574,"-4140.17","-588.69","(-1.38\\%)"
3575,"-155.19","-732.44","(-3.21\\%)"
3576,"-13583.65","154.50","(0.00\\%)"
3577,"365.15","306.60","(+0.43\\%)"
3578,"-484.26","-383.84","(-0.70\\%)"
3579,"-321.28","758.53","(-0.93\\%)"
3580,"-115.08","-322.26","(-0.72\\%)"
3581,"-1065.14","-796.73","(-1.80\\%)"
3582,"-446.58","-174.64","(-0.32\\%)"
3583,"173.68","-52.90","(+1.80\\%)"
3584,"0.00","0.00","(0.00\\%)"
3585,"-521.79","-1274.41","(-2.30\\%)"
3586,"-1783.87","-1642.28","(-2.04\\%)"
3587,"-376.59","-152.95","(-0.69\\%)"
3588,"-311.35","-1017.70","(-2.23\\%)"
3589,"-233.36","-7.99","(-0.57\\%)"
3590,"-969.93","-779.75","(-2.00\\%)"
3591,"-1148.96","-630.09","(-2.20\\%)"
3592,"7247.29","-1308.64","(+2.62\\%)"
3593,"628.55","-172.20","(+0.72\\%)"
3594,"381.62","-122.62","(+0.52\\%)"
3595,"-47.33","-508.79","(-1.04\\%)"
3596,"-1309.24","-1258.63","(-3.17\\%)"
3597,"0.00","0.00","(0.00\\%)"
3598,"-714.86","-200.83","(-0.22\\%)"
3599,"-10576.02","-2352.79","(-1.13\\%)"
3600,"-1290.53","-1643.23","(-5.55\\%)"
3601,"-840.90","-759.48","(-3.54\\%)"
3602,"-737.52","-199.92","(-1.95\\%)"
3603,"-80.51","-551.74","(-2.44\\%)"
3604,"-55.94","-733.18","(+1.08\\%)"
3605,"-4832.24","-1731.09","(-7.97\\%)"
3606,"207.25","846.88","(+0.55\\%)"
3607,"246.21","-910.01","(-2.14\\%)"
3608,"29.95","-761.22","(-2.29\\%)"
3609,"2794.43","68.78","(+1.23\\%)"
3610,"371.68","-57.85","(+1.00\\%)"
3611,"125.34","-483.30","(-1.00\\%)"
3612,"-2402.11","-815.42","(-6.38\\%)"
3613,"-1428.98","-544.42","(-4.04\\%)"
3614,"-702.85","-859.00","(-2.08\\%)"
3615,"-247.01","-1053.36","(-2.02\\%)"
3616,"-358.91","-524.97","(-0.86\\%)"
3617,"-1142.82","-984.48","(-3.22\\%)"
3618,"-3665.05","-723.03","(-1.08\\%)"
3619,"-3311.74","-2041.20","(-7.29\\%)"
3620,"141.88","-340.91","(-0.65\\%)"
3621,"-51.94","-517.99","(-0.98\\%)"
3622,"-1707.60","-865.13","(-1.21\\%)"
3623,"-1156.62","-588.36","(-1.33\\%)"
3624,"-593.25","296.91","(+0.58\\%)"
3625,"-715.88","-1046.57","(-1.51\\%)"
3626,"11.13","-286.95","(-0.07\\%)"
3627,"-1895.66","-1853.16","(-5.36\\%)"
3628,"0.00","0.00","(0.00\\%)"
3629,"-365.38","-703.23","(+0.78\\%)"
3630,"-469.27","-1473.39","(-3.06\\%)"
3631,"-2067.59","-580.18","(-2.10\\%)"
3632,"-133.33","-118.27","(-1.88\\%)"
3633,"-242.31","-594.75","(-0.33\\%)"
3634,"-3208.37","-432.42","(-2.21\\%)"
3635,"746.72","-492.80","(-0.78\\%)"
3636,"-2461.95","-3403.29","(-5.11\\%)"
3637,"-571.61","-325.86","(-0.80\\%)"
3638,"-962.71","-637.22","(-2.25\\%)"
3639,"273.66","-2.62","(-1.07\\%)"
3640,"30.36","-347.80","(0.00\\%)"
3641,"4852.73","-619.26","(+3.05\\%)"
3642,"0.00","0.00","(0.00\\%)"
3643,"-130.63","-924.09","(-1.63\\%)"
3644,"974.90","-914.30","(-0.14\\%)"
3645,"0.00","0.00","(0.00\\%)"
3646,"-7626.34","-811.98","(-5.34\\%)"
3647,"1691.39","-512.12","(-0.71\\%)"
3648,"0.00","0.00","(0.00\\%)"
3649,"806.63","64.33","(+1.66\\%)"
3650,"-99.58","71.78","(-0.24\\%)"
3651,"620.79","-351.38","(+2.77\\%)"
3652,"-548.47","-344.81","(-0.78\\%)"
3653,"-1501.11","-651.60","(-2.47\\%)"
3654,"-1174.46","-1300.01","(-5.86\\%)"
3655,"-726.43","-371.55","(-2.10\\%)"
3656,"-697.03","-1221.41","(-2.51\\%)"
3657,"-2099.80","-609.98","(-0.82\\%)"
3658,"279.03","-241.21","(-0.21\\%)"
3659,"-618.09","-763.11","(-2.06\\%)"
3660,"-1392.52","-830.36","(-1.93\\%)"
3661,"-486.09","-716.64","(-1.79\\%)"
3662,"-1605.53","-1405.36","(-3.72\\%)"
3663,"-742.20","-863.90","(-1.63\\%)"
3664,"-836.15","-706.54","(-0.92\\%)"
3665,"-502.25","-900.56","(-4.83\\%)"
3666,"-2732.99","-163.00","(-1.67\\%)"
3667,"-47.87","-343.22","(-0.44\\%)"
3668,"-4060.97","-1422.59","(-3.78\\%)"
3669,"-212.04","-303.08","(-1.62\\%)"
3670,"-281.40","-1097.53","(-2.15\\%)"
3671,"-13718.09","-799.29","(-1.97\\%)"
3672,"-12452.31","-7.94","(-1.52\\%)"
3673,"-606.45","-1234.28","(-5.78\\%)"
3674,"-601.19","-450.02","(-0.99\\%)"
3675,"-2886.13","-1729.59","(-5.60\\%)"
3676,"-4599.06","-1021.64","(-3.26\\%)"
3677,"-1502.01","-1231.40","(-1.77\\%)"
3678,"-989.82","-790.62","(-1.06\\%)"
3679,"-675.43","-786.06","(+5.49\\%)"
3680,"-8646.99","-1430.89","(-1.47\\%)"
3681,"447.52","444.68","(+0.85\\%)"
3682,"-213.63","-254.63","(-1.34\\%)"
3683,"-833.13","-1091.33","(+0.52\\%)"
3684,"216.80","-624.23","(+0.11\\%)"
3685,"-720.93","-999.69","(-1.42\\%)"
3686,"-399.18","-749.71","(-1.75\\%)"
3687,"-390.44","-305.11","(-2.25\\%)"
3688,"1472.70","9.47","(+0.66\\%)"
3689,"-3034.77","-710.07","(-3.08\\%)"
3690,"-2709.83","-1315.77","(-2.44\\%)"
3691,"-935.49","-1310.73","(-4.49\\%)"
3692,"-592.14","-837.91","(-1.58\\%)"
3693,"-41.07","-198.55","(-0.18\\%)"
3694,"-133.33","-118.27","(-1.88\\%)"
3695,"-839.71","-1116.50","(-6.33\\%)"
3696,"-680.99","-230.14","(-0.43\\%)"
3697,"-179.21","-287.42","(-0.85\\%)"
3698,"-3489.28","-876.21","(-5.75\\%)"
3699,"3114.42","-738.04","(+0.07\\%)"
3700,"651.16","-1282.21","(-1.09\\%)"
3701,"-148.27","-605.89","(-1.77\\%)"
3702,"-524.39","-659.36","(-2.01\\%)"
3703,"-1662.87","-1361.81","(-3.30\\%)"
3704,"-592.49","-828.73","(-2.54\\%)"
3705,"-5751.08","-1124.41","(+0.12\\%)"
3706,"-188.63","-870.06","(-1.95\\%)"
3707,"-1219.88","-925.59","(-2.60\\%)"
3708,"0.00","0.00","(0.00\\%)"
3709,"-14518.23","-167.23","(-1.21\\%)"
3710,"-89.16","-331.64","(-1.93\\%)"
3711,"-434.29","-362.26","(-0.52\\%)"
3712,"-473.44","-1208.28","(-1.75\\%)"
3713,"-238.43","-681.71","(-2.03\\%)"
3714,"-3965.74","-1326.00","(-1.17\\%)"
3715,"582.50","-129.74","(-2.32\\%)"
3716,"19.30","66.43","(+2.02\\%)"
3717,"-1473.74","-99.76","(-1.58\\%)"
3718,"-88.13","169.70","(-0.72\\%)"
3719,"6.80","-371.14","(-0.12\\%)"
3720,"-151.09","-5.72","(-0.41\\%)"
3721,"231.19","-730.40","(-1.02\\%)"
3722,"-106.57","-628.68","(-1.79\\%)"
3723,"-391.42","-319.07","(-1.53\\%)"
3724,"-286.89","-8.02","(-0.40\\%)"
3725,"275.99","-287.22","(+0.12\\%)"
3726,"0.00","0.00","(0.00\\%)"
3727,"124.76","-184.82","(-3.48\\%)"
3728,"1194.70","-718.66","(-0.34\\%)"
3729,"-911.93","-864.27","(-0.83\\%)"
3730,"-434.29","-362.26","(-0.52\\%)"
3731,"-473.44","-1208.28","(-1.75\\%)"
3732,"-238.43","-681.71","(-2.03\\%)"
3733,"-3965.74","-1326.00","(-1.17\\%)"
3734,"582.50","-129.74","(-2.32\\%)"
3735,"19.30","66.43","(+2.02\\%)"
3736,"-1473.74","-99.76","(-1.58\\%)"
3737,"-88.13","169.70","(-0.72\\%)"
3738,"6.80","-371.14","(-0.12\\%)"
3739,"-151.09","-5.72","(-0.41\\%)"
3740,"231.19","-730.40","(-1.02\\%)"
3741,"-106.57","-628.68","(-1.79\\%)"
3742,"-391.42","-319.07","(-1.53\\%)"
3743,"-286.89","-8.02","(-0.40\\%)"
3744,"275.99","-287.22","(+0.12\\%)"
3745,"0.00","0.00","(0.00\\%)"
3746,"124.76","-184.82","(-3.48\\%)"
3747,"1194.70","-718.66","(-0.34\\%)"
3748,"-911.93","-864.27","(-0.83\\%)"
3749,"-1299.44","-1689.08","(-2.97\\%)"
3750,"-1187.28","-973.64","(-1.21\\%)"
3751,"-3215.90","38.08","(-1.78\\%)"
3752,"-1399.81","-670.85","(-2.23\\%)"
3753,"-6919.37","-1591.29","(-5.53\\%)"
3754,"-127.39","-510.24","(-0.55\\%)"
3755,"-1005.63","-1433.78","(-7.18\\%)"
3756,"0.00","0.00","(0.00\\%)"
3757,"-248.16","-1334.25","(-3.13\\%)"
3758,"-2785.13","-1658.75","(-6.34\\%)"
3759,"101.18","-196.18","(-0.20\\%)"
3760,"-78.23","-47.31","(-0.36\\%)"
3761,"-105.34","-331.87","(-1.08\\%)"
3762,"-13880.52","-557.23","(-1.63\\%)"
3763,"-1128.84","-381.27","(-2.76\\%)"
3764,"-278.79","-927.68","(-1.82\\%)"
3765,"21.17","-218.46","(-1.28\\%)"
3766,"124.47","-226.07","(-0.44\\%)"
3767,"0.00","0.00","(0.00\\%)"
3768,"-1498.75","-1301.66","(-3.28\\%)"
3769,"0.00","0.00","(0.00\\%)"
3770,"-474.56","-443.34","(+0.35\\%)"
3771,"-841.54","-1409.80","(-1.14\\%)"
3772,"365.08","485.25","(+2.35\\%)"
3773,"-1327.62","-1189.38","(-2.33\\%)"
3774,"-175.61","-658.14","(-2.39\\%)"
3775,"-120.98","-43.22","(-1.05\\%)"
3776,"-1234.83","-1056.39","(-4.24\\%)"
3777,"-1168.89","-1673.75","(-1.71\\%)"
3778,"-1733.89","-1632.57","(-5.63\\%)"
3779,"-792.75","-1770.27","(-4.64\\%)"
3780,"-671.67","-760.19","(-1.42\\%)"
3781,"-1369.43","-1141.65","(-2.67\\%)"
3782,"2723.42","-199.67","(-0.38\\%)"
3783,"-299.00","-755.44","(-1.26\\%)"
3784,"0.00","0.00","(0.00\\%)"
3785,"-3580.31","-923.59","(-2.40\\%)"
3786,"0.00","0.00","(0.00\\%)"
3787,"4702.04","218.58","(+3.84\\%)"
3788,"-6705.26","-2006.72","(-1.77\\%)"
3789,"414.46","-269.25","(+0.24\\%)"
3790,"-104.18","-52.57","(-1.19\\%)"
3791,"-2893.64","-782.96","(-1.56\\%)"
3792,"-9398.51","-273.51","(-4.02\\%)"
3793,"-76.97","-311.98","(-1.13\\%)"
3794,"329.38","110.67","(+0.12\\%)"
3795,"-519.60","-36.87","(+0.97\\%)"
3796,"-4346.20","-3823.44","(-0.69\\%)"
3797,"-987.13","-376.02","(-1.42\\%)"
3798,"73.22","112.21","(+0.67\\%)"
3799,"-1055.18","-681.21","(-3.09\\%)"
3800,"-1316.08","-1945.90","(-6.04\\%)"
3801,"-396.98","102.46","(-0.70\\%)"
3802,"-1073.54","-1267.38","(-3.19\\%)"
3803,"-1034.70","-547.80","(-2.09\\%)"
3804,"-933.91","-498.40","(-0.96\\%)"
3805,"-79.81","-299.76","(-0.44\\%)"
3806,"-273.67","-820.38","(-1.51\\%)"
3807,"-632.74","-2101.39","(-0.28\\%)"
3808,"-1316.62","-586.78","(-2.07\\%)"
3809,"1455.45","487.84","(+0.74\\%)"
3810,"-3067.52","-2083.52","(-3.38\\%)"
3811,"-6753.97","460.74","(-0.37\\%)"
3812,"-1305.85","-758.43","(-1.92\\%)"
3813,"-1913.26","-60.71","(-0.15\\%)"
3814,"-2029.04","-1772.06","(-4.03\\%)"
3815,"-268.98","-505.36","(-1.05\\%)"
3816,"-265.86","-471.84","(-0.64\\%)"
3817,"-1245.70","-1260.08","(-2.48\\%)"
3818,"-552.70","-806.22","(-1.04\\%)"
3819,"-333.42","-263.88","(-2.26\\%)"
3820,"-75.96","-321.97","(-0.32\\%)"
3821,"-626.78","-1610.64","(-3.17\\%)"
3822,"512.71","-282.64","(-0.24\\%)"
3823,"-252.62","-830.02","(-3.61\\%)"
3824,"-430.21","-1154.16","(-1.60\\%)"
3825,"-291.77","-559.19","(-2.34\\%)"
3826,"61.69","62.13","(+0.21\\%)"
3827,"0.00","0.00","(0.00\\%)"
3828,"0.00","0.00","(0.00\\%)"
3829,"1330.41","65.38","(+0.77\\%)"
3830,"-1605.88","-1159.94","(-4.82\\%)"
3831,"-343.88","-286.54","(+0.34\\%)"
3832,"-5712.83","-789.98","(-1.86\\%)"
3833,"-1316.61","-1662.98","(-3.73\\%)"
3834,"-1678.86","-680.57","(-0.93\\%)"
3835,"-129.38","50.26","(-1.07\\%)"
3836,"-2322.98","-2119.42","(-4.52\\%)"
3837,"-456.02","-709.02","(-0.36\\%)"
3838,"-6683.48","-1408.10","(-1.47\\%)"
3839,"-1447.95","-104.85","(-2.29\\%)"
3840,"-500.86","-197.84","(-1.14\\%)"
3841,"-1793.42","-1001.07","(-1.87\\%)"
3842,"-39.07","-644.42","(-0.99\\%)"
3843,"-618.12","-572.46","(-1.43\\%)"
3844,"-5226.55","-797.09","(-2.40\\%)"
3845,"338.17","-209.08","(+0.22\\%)"
3846,"-4025.24","-1414.05","(-2.48\\%)"
3847,"-104.66","-175.31","(-2.23\\%)"
3848,"77.75","-280.48","(-1.23\\%)"
3849,"-113.41","-317.63","(-1.24\\%)"
3850,"-1231.85","-1075.43","(-3.39\\%)"
3851,"644.40","114.02","(+1.35\\%)"
3852,"-570.41","-1243.64","(-2.73\\%)"
3853,"-110.17","-104.27","(-0.36\\%)"
3854,"-2196.03","-891.68","(-1.99\\%)"
3855,"16420.46","-187.44","(+2.99\\%)"
3856,"-107.84","-77.43","(-0.95\\%)"
3857,"-883.00","-1132.99","(-5.93\\%)"
3858,"-63.26","-455.24","(+0.04\\%)"
3859,"0.00","0.00","(0.00\\%)"
3860,"-1048.51","-1072.94","(-1.79\\%)"
3861,"-1136.38","-717.46","(-1.95\\%)"
3862,"-325.96","-38.74","(-0.58\\%)"
3863,"17.84","-730.96","(-1.02\\%)"
3864,"-1493.49","-1145.46","(-1.64\\%)"
3865,"-945.47","-1598.15","(-4.80\\%)"
3866,"-176.46","-778.91","(-1.18\\%)"
3867,"-47.22","-415.59","(-0.67\\%)"
3868,"-17409.93","-2008.30","(-3.91\\%)"
3869,"-3179.43","-842.21","(-1.58\\%)"
3870,"-2782.34","-767.55","(-2.06\\%)"
3871,"-1845.86","-701.16","(-1.85\\%)"
3872,"-231.03","-2064.47","(-1.41\\%)"
3873,"-2006.71","-204.56","(-1.82\\%)"
3874,"2623.65","-425.32","(+1.16\\%)"
3875,"0.00","0.00","(0.00\\%)"
3876,"17814.17","2353.62","(+9.97\\%)"
3877,"21.85","-34.92","(-0.19\\%)"
3878,"872.94","228.09","(+1.13\\%)"
3879,"-2875.23","-683.01","(-1.30\\%)"
3880,"-1096.04","-349.22","(+0.96\\%)"
3881,"-78.81","-708.51","(-1.47\\%)"
3882,"-1145.87","-664.89","(-1.83\\%)"
3883,"-312.42","-248.34","(-0.29\\%)"
3884,"-1344.60","-857.72","(-1.90\\%)"
3885,"36.49","-54.31","(+1.15\\%)"
3886,"-1107.05","-957.06","(-3.23\\%)"
3887,"0.00","0.00","(0.00\\%)"
3888,"-174.21","-723.92","(-0.46\\%)"
3889,"-3596.94","-866.63","(-1.53\\%)"
3890,"330.76","-444.47","(+0.29\\%)"
3891,"794.99","1166.09","(+2.41\\%)"
3892,"-1076.68","-1370.24","(-4.09\\%)"
3893,"-4569.41","-2342.90","(-4.04\\%)"
3894,"-859.38","-1020.10","(-3.17\\%)"
3895,"-2519.38","-732.53","(-0.65\\%)"
3896,"-1547.96","-710.63","(-3.50\\%)"
3897,"664.32","-940.68","(-2.68\\%)"
3898,"-1136.56","-2290.50","(-6.54\\%)"
3899,"-1785.11","-649.38","(-3.70\\%)"
3900,"-1451.54","-265.56","(-2.04\\%)"
3901,"-318.13","-251.24","(-0.31\\%)"
3902,"0.00","0.00","(0.00\\%)"
3903,"-141.31","-657.61","(-1.68\\%)"
3904,"1707.46","41.63","(+0.71\\%)"
3905,"-16.86","30.51","(-0.58\\%)"
3906,"-361.24","-101.01","(-0.91\\%)"
3907,"-1748.59","-875.11","(-1.52\\%)"
3908,"-2197.91","-735.05","(-1.73\\%)"
3909,"-2264.55","-753.43","(-1.59\\%)"
3910,"-418.01","-582.26","(-1.76\\%)"
3911,"-10868.33","-701.37","(-2.82\\%)"
3912,"1025.38","-1171.14","(-4.26\\%)"
3913,"-4267.63","-1993.93","(-4.87\\%)"
3914,"2376.64","102.87","(+1.83\\%)"
3915,"-532.16","57.73","(-1.49\\%)"
3916,"-522.52","-500.32","(-1.57\\%)"
3917,"-1118.05","-1054.11","(-4.49\\%)"
3918,"-17.38","-613.82","(-1.12\\%)"
3919,"-3029.98","-1992.56","(-2.15\\%)"
3920,"-498.89","-574.34","(-1.52\\%)"
3921,"-552.42","-748.30","(-1.63\\%)"
3922,"-917.39","-608.54","(-1.55\\%)"
3923,"-81.86","-92.11","(-1.31\\%)"
3924,"-13.61","-1041.22","(-0.89\\%)"
3925,"919.74","-452.47","(+1.03\\%)"
3926,"-310.82","-488.83","(-1.03\\%)"
